iter	Passed	Remaining
0	1	191
1	3	181
2	5	176
3	6	160
4	8	157
5	9	154
6	11	152
7	13	151
8	14	149
9	16	147
10	17	145
11	19	143
12	21	143
13	23	141
14	24	139
15	26	137
16	28	139
17	30	139
18	33	140
19	35	141
20	37	139
21	38	137
22	40	135
23	42	133
24	43	131
25	45	129
26	47	127
27	48	125
28	51	125
29	52	123
30	54	121
31	56	119
32	57	117
33	59	115
34	61	113
35	62	111
36	64	109
37	66	108
38	68	106
39	69	104
40	71	102
41	72	99
42	73	97
43	75	95
44	76	93
45	78	92
46	80	90
47	82	89
48	84	87
49	85	85
50	87	83
51	88	81
52	90	80
53	92	78
54	93	76
55	95	74
56	96	73
57	98	71
58	100	69
59	101	67
60	103	66
61	105	64
62	106	62
63	108	60
64	110	59
65	112	57
66	113	56
67	115	54
68	117	52
69	118	50
70	120	49
71	122	47
72	123	45
73	127	44
74	130	43
75	132	41
76	133	39
77	135	38
78	137	36
79	138	34
80	140	32
81	142	31
82	143	29
83	145	27
84	147	25
85	148	24
86	150	22
87	151	20
88	153	19
89	155	17
90	157	15
91	159	13
92	160	12
93	162	10
94	163	8
95	165	6
96	167	5
97	169	3
98	171	1
99	173	0
